序号,日本語,平假名注音,中文,英文
1,今,いま,现在,now
2,先週,せんしゅう,上周,last week
3,来週,らいしゅう,下周,next week
4,さ来週,さらいしゅう,下下周,the week after next
5,今週,こんしゅう,这周,this week
6,昨日,きのう,昨天,yesterday
7,明日,あした,明天,tomorrow
8,あさって,あさって,后天,the day after tomorrow
9,おととい,おととい,前天,the day before yesterday
10,毎日,まいにち,每天,every day
11,毎朝,まいあさ,每天早上,every morning
12,毎晩,まいばん,每天晚上,every evening
13,毎週,まいしゅう,每周,every week
14,午前,ごぜん,上午,morning
15,午後,ごご,下午,afternoon
16,日曜日,にちようび,星期日,Sunday
17,月曜日,げつようび,星期一,Monday
18,火曜日,かようび,星期二,Tuesday
19,金曜日,きんようび,星期五,Friday
20,土曜日,どようび,星期六,Saturday
21,今朝,けさ,今天早上,this morning
22,今晩,こんばん,今晚,this evening
23,来年,らいねん,明年,next year
24,去年,きょねん,去年,last year
25,夜,よる,晚上,night
26,晩,ばん,晚上,night
27,朝,あさ,早晨,morning
28,学校,がっこう,学校,school
29,試験,しけん,考试,exam
30,仕事,しごと,工作,work
31,遅刻,ちこく,迟到,late arrival
32,休み,やすみ,休息,holiday
33,出張,しゅっちょう,出差,business trip
34,研修,けんしゅう,培训,training
35,旅行,りょこう,旅行,travel
36,展覧会,てんらんかい,展览会,exhibition
37,歓迎会,かんげい会,欢迎会,welcome party
38,パーティー,パーティー,派对,party
39,お宅,おたく,您家,your home
40,いつ,いつ,什么时候,when
41,休む,やすむ,休息,to rest
42,働く,はたらく,工作,to work
43,始まる,はじまる,开始,to begin
44,終わる,おわる,结束,to finish
45,起きる,おきる,起床,to get up
46,寝る,ねる,睡觉,to sleep
47,勉強する,べんきょうする,学习,to study
48,いつも,いつも,总是,always
49,北京支社,ペキンししゃ,北京分公司,Beijing branch office
50,神戸,こうべ,神户,Kobe
51,おはよう,おはよう,早上好,good morning
52,ごろ,ごろ,大约,around
