序号,日本語,平假名注音,中文,英文
1,中国人,ちゅうごくじん,中国人,Chinese person
2,森,もり,森林,forest
3,日本人,にほんじん,日本人,Japanese person
4,林,はやし,林,woods
5,韓国人,かんこくじん,韩国人,Korean person
6,小野,おの,小野,surname Ono
7,アメリカ人,アメリカじん,美国人,American person
8,吉田,よしだ,吉田,surname Yoshida
9,フランス人,フランスじん,法国人,French person
10,田中,たなか,田中,surname Tanaka
11,学生,がくせい,学生,student
12,中村,なかむら,中村,surname Nakamura
13,先生,せんせい,先生,teacher
14,太郎,たろう,太郎,male given name Taro
15,留学生,りゅうがくせい,留学生,international student
16,キム,キム,Kim,Kim (Korean surname)
17,教授,きょうじゅ,教授,professor
18,デュポン,デュポン,Dupont,Dupont (French surname)
19,社員,しゃいん,社员,employee
20,スミス,スミス,史密斯,Smith (English surname)
21,会社員,かいしゃいん,公司员工,company employee
22,ジョンソン,ジョンソン,约翰逊,Johnson (English surname)
23,店員,てんいん,店员,shop assistant
24,中国,ちゅうごく,中国,China
25,研修生,けんしゅうせい,见习生,intern/trainee
26,東京大学,とうきょうだいがく,东京大学,University of Tokyo
27,企業,きぎょう,企业,enterprise/company
28,北京大学,ぺきんだいがく,北京大学,Peking University
29,大学,だいがく,大学,university
30,ＪＣ企画,ジェーシーきかく,JC企划,JC Planning (company name)
31,父,ちち,父,father
32,北京旅行社,ぺきんりょこうしゃ,北京旅行社,Beijing Travel Agency
33,課長,かちょう,科长,section chief
34,日中商事,にっちゅうしょうじ,日中商事,Japan-China Trading Co., Ltd.
35,社長,しゃちょう,社长,president/director
36,こんにちは,こんにちは,你好,Hello
37,出迎え,でむかえ,迎接,welcome
38,すみません,すみません,对不起,I'm sorry
39,あの人,あのひと,那个人,that person
40,どうぞ,どうぞ,请,please
41,私,わたし,我,I/me
42,よろしくお願いします,よろしくおねがいします,请多关照,Nice to meet you
43,あなた,あなた,你/您,you
44,初めまして,はじめまして,初次见面,Nice to meet you
45,どうも,どうも,谢谢,thank you
46,こちらこそ,こちらこそ,我才是,Likewise
47,はい,はい,是,Yes
48,そうです,そうです,是的,Yes/That's right
49,いいえ,いいえ,不,no
50,違います,ちがいます,不对/不是,incorrect
51,あっ,あっ,啊,ah
52,分かりません,わかりません,我不知道,I don't know
53,李,り,李,Li (Chinese surname)
54,どうもすみません,どうもすみません,非常抱歉,I'm very sorry
55,王,おう,王,Wang (Chinese surname)
56,君,さん,君,Mr./Ms.
