序号,日本語,平假名注音,中文,英文
1,コーヒー,コーヒー,咖啡,coffee
2,コーラ,コーラ,可乐,cola
3,お茶,おちゃ,茶,tea
4,ワイン,ワイン,葡萄酒,wine
5,パン,パン,面包,bread
6,ケーキ,ケーキ,蛋糕,cake
7,お粥,おかゆ,稀饭,porridge
8,昼ご飯,ひるごはん,午餐,lunch
9,お弁当,おべんとう,便当,bento box
10,蕎麦,そば,荞麦面,buckwheat noodles
11,うどん,うどん,乌冬面,udon noodles
12,親子丼,おやこどん,親子饭,chicken and egg bowl
13,カレー,カレー,咖喱,curry
14,卵,たまご,鸡蛋,egg
15,チーズ,チーズ,奶酪,cheese
16,リンゴ,リンゴ,苹果,apple
17,イチゴ,イチゴ,草莓,strawberry
18,蕎麦や,そばや,荞麦面馆,soba noodle restaurant
19,テニス,テニス,网球,tennis
20,ジョギング,ジョギング,慢跑,jogging
21,サッカー,サッカー,足球,soccer
22,野球,やきゅう,棒球,baseball
23,申込書,もうしこみしょ,申请书,application form
24,手紙,てがみ,信,letter
25,ＣＤ,シーディー,CD,CD
26,音楽,おんがく,音乐,music
27,映画,えいが,电影,movie
28,動物園,どうぶつえん,动物园,zoo
29,パンダ,パンダ,熊猫,panda
30,飲む,のむ,喝,to drink
31,買う,かう,买,to buy
32,撮る,とる,拍照,to take (a photo)
33,書く,かく,写,to write
34,読む,よむ,读,to read
35,聞く,きく,听,to listen
36,食べる,たべる,吃,to eat
37,見る,みる,看,to see/watch
38,する,する,做,to do
39,掃除する,そうじする,打扫,to clean
40,これから,これから,从现在开始,from now on
41,じゃあ／では,では／じゃあ,那么，那么就,well, then
42,いらっしゃいませ,いらっしゃいませ,欢迎光临,welcome (to a store)
43,失礼します,しつれいします,失礼了，对不起,excuse me (when leaving)
44,失礼しました,しつれいしますた,失礼了，对不起,excuse me (after making a mistake)
45,いってまいります,いってまいります,我要出去了，我要走了,I'm off (used by the person leaving)
46,いってきます,いってきます,我出去了，我去了,I'm off (used by the person leaving)
47,いってらっしゃい,いってらっしゃい,一路顺风，平安回家，走好,have a safe trip (used to see someone off)
48,ただいま,ただいま,我回来了，我回来了,I'm home (used when returning home)
49,お帰りなさい,おかえりなさい,欢迎回来，欢迎回来,welcome back
50,かしこまりました,かしこまりました,知道了，知道了，我知道了,I understand
51,お邪魔します,おじゃまします,打扰了，打扰了，抱歉,excuse me (when entering someone's home)
52,ください,ください,请，请,please
53,午前中,ごぜんちゅう,上午,in the morning
