序号,日本語,平假名注音,中文,英文
1,趣味,しゅみ,兴趣,hobby/interest
2,特技,とくぎ,特技,special skill
3,興味,きょうみ,兴趣,interest
4,夢,ゆめ,梦想,dream
5,ギター,ギター,吉他,guitar
6,胡弓,こきゅう,胡琴,erhu
7,書道,しょどう,书法,calligraphy
8,釣り,つり,钓鱼,fishing
9,ドライブ,ドライブ,开车,driving
10,編み物,あみもの,编织,knitting
11,手作り,てづくり,手工制作,handmade
12,中華街,ちゅうかがい,唐人街,Chinatown
13,中華料理,ちゅうかりょうり,中餐,Chinese cuisine
14,餃子,ギョーザ,饺子,dumplings
15,皮,かわ,皮革,leather/skin
16,春節,しゅんせつ,春节,Chinese New Year
17,獅子舞,ししまい,舞狮,lion dance
18,寮,りょう,宿舍,dormitory
19,洗濯機,せんたくき,洗衣机,washing machine
20,シャワー,シャワー,淋浴器,shower
21,おなか,おなか,肚子,stomach
22,授業,じゅぎょう,课程,lesson/class
23,資料,しりょう,资料,data/material
24,フランス語,フランスご,法语,French language
25,小説,しょうせつ,小说,novel
26,海岸,かいがん,海岸,coast
27,冬休み,ふゆやすみ,寒假,winter vacation
28,キャンプ,キャンプ,露营,camping
29,みんな,みんな,大家,everyone
30,自分,じぶん,自己,oneself
31,全員,ぜんいん,所有成员,all members
32,引く,ひく,拉,to pull
33,空く,すく,空，to become empty
34,上る,のぼる,上升，to ascend
35,集める,あつめる,收集，to gather
36,浴びる,あびる,淋浴，to take a shower
37,ごちそうする,ごちそうする,宴请，to treat (someone) to a meal
38,帰国する,きこくする,返回国家，to return to one's home country
39,特に,とくに,特别，particularly
40,おなかがすきます。,おなかがすきます。,肚子饿了。,I'm hungry.
