序号,日本語,平假名注音,中文,英文
1,操作,そうさ,操作,operation
2,機械,きかい,机械,machine
3,旅行会社,りょこうがいしゃ,旅行社,travel agency
4,航空会社,こうくうがいしゃ,航空公司,airline company
5,営業部,えいぎょうぶ,营业部,sales department
6,アイティー産業,アイティーさんぎょう,IT产业,IT industry
7,製品,せいひん,产品,product
8,建築家,けんちくか,建筑师,architect
9,設計,せっけい,设计,design
10,デザイン,デザイン,设计,design
11,形,かたら,形状,shape
12,最新,さいしん,最新,latest
13,財布,さいふ,钱包,wallet
14,革,かわ,皮革,leather
15,布,ぬの,布料,fabric
16,水筒,すいとう,水壶,water bottle
17,指,ゆび,手指,finger
18,鼻,はな,鼻子,nose
19,顔,かお,脸,face
20,頭,あたま,头,head
21,アイディーカード,アイディーカードー,身份证,ID card
22,間違い,まちがい,错误,mistake
23,問題,もんだい,问题,problem
24,広告,こうこく,广告,advertisement
25,看板,かんばん,招牌,signboard
26,展示場,てんじじょう,展示场,exhibition hall
27,入場料,にゅうじょうりょう,入场费,entrance fee
28,サービス,サービス,服务,service
29,天井,てんじょう,天花板,ceiling
30,警備,けいび,警卫,security
31,クリスマスツリー,クリスマスツリー,圣诞树,Christmas tree
32,オーストラリア人,オーストラリアじん,澳大利亚人,Australian
33,皆さん,みなさん,大家,everyone
34,子,こ,孩子,child
35,横,よこ,横,side
36,持つ,もつ,拥有,to have
37,住む,すむ,居住,live
38,知る,しる,知道,to know
39,直す,なおす,修正,to correct
40,片付ける,かたづける,整理,to tidy up
41,練習する,れんしゅうする,练习,to practice
42,結婚する,けっこんする,结婚,to get married
43,安心する,あんしんする,安心,to feel relieved
44,明るい,あかるい,明亮,bright
45,長い,ながい,长长的,long
46,短い,みじかい,短的,short
47,軽い,かるい,轻的,light
48,優しい,やさしい,温柔的,kind
49,細い,ほそい,细的,thin
50,太い,ふとい,粗的,thick
51,ユニーク,ユニーク,独特的,unique
52,安全,あんぜん,安全,safe
53,派手,はで,华丽的,flashy
54,地味,じみ,朴素的,plain
55,厳重,げんじゅう,严重,strict
56,真面目,まじめ,认真,serious
57,大切,たいせつ,重要,important
58,複雑,ふくざつ,复杂,complex
59,ちゃんと,ちゃんと,正确地,properly
60,すぐ,すぐ,马上,immediately
61,ずいぶん,ずいぶん,相当，很，非常,quite, very much
62,ほら,ほら,听说,Listen, hey
63,日中電気,にっちゅうでんき,日中电气,Japan-China electricity
