序号,日本語,平假名注音,中文,英文
1,音,おと,声音,sound
2,声,こえ,声音,voice
3,空気,くうき,空气,air
4,息子,むすこ,儿子,son
5,医者,いしゃ,医生,doctor
6,お嬢さん,おじょうさん,小姐，女儿,young lady, daughter
7,社会人,しゃかいじん,职场人员,working adults
8,旅行ガイド,りょこうガイド,旅游指南,travel guide
9,学者,がくしゃ,学者,scholar
10,パイロット,パイロット,飞行员,pilot
11,デザイナー,デザイナー,设计师,designer
12,タイムサービス,タイムサービス,限时促销,limited time offer
13,新春セール,しんしゅんセール,新春大减价,new year sale
14,三割引,さんわりびき,七折,30% discount
15,半額,ていか,半价,half price
16,定価,はんがく,定价,regular price
17,シャツ,シャツ,衬衫,shirt
18,スカート,スカート,裙子,skirt
19,色,いろ,颜色,color
20,赤,あか,红色,red
21,青,あお,蓝色，青色,blue
22,お正月,おしょうがつ,日本新年,Japanese New Year
23,時間,じかん,时间,time
24,将来,しょうらい,未来,future
25,準備,じゅんび,准备,preparation
26,病気,びょうき,疾病，病,illness, disease
27,なる,なる,成为，变得,to become
28,開く,ひらく,打开，开放,to open
29,似合う,にあう,适合，合适,to suit, to fit
30,煩い,うるさい,吵闹的，烦人的,noisy, annoying
31,シンプル,シンプル,简单，简洁,simple
32,間もなく,まもなく,马上，不久，即将,soon, shortly
33,もうすぐ,もうすぐ,马上，不久，即将,soon, shortly
34,さらに／もっと,さらに／もっと,更多，更加，还有,further, more
35,さあ,さあ,来吧，那么，好吧,come on, well then
36,できるだけ,できるだけ,尽可能，尽量,as much as possible
37,まとめて,まとめて,一起，一次性,together, all at once
38,今から,いまから,从现在开始，现在开始,from now, starting now
