序号,日本語,平假名注音,中文,英文
1,紅葉,もみじ,红叶,autumn leaves
2,故郷,こきょう,故乡,hometown
3,通り,とおり,街道,street
4,町,まち,城市,town
5,ところ,ところ,地方,place
6,お店,おみせ,商店,shop/store
7,人形,にんぎょう,人偶,doll
8,作品,さくひん,作品,work (piece of art)
9,彫刻,ちょうこく,雕刻,sculpture
10,自動車,じどうしゃ,汽车,automobile
11,道具,どうぐ,工具,tool
12,魚,さかな,鱼,fish
13,お菓子,おかし,糖果,sweets
14,もの,もの,物品,thing
15,シーズン,シーズン,季节,season
16,修学旅行,しゅうがくりょこう,校外教学,school trip
17,観光客,かんこうきゃく,观光客,tourist
18,作家,さっか,作家,author/writer
19,部長,ぶちょう,部长,department head
20,平日,へいじつ,工作日,weekday
21,日,ひ,日子,day
22,生活,せいかつ,生活,living/life
23,世界,せかい,世界,world
24,晴れ,はれ,晴天,sunny
25,雨,あめ,雨,rain
26,曇り,くもり,阴天,cloudy
27,雪,ゆき,雪,snow
28,汚い,きたない,脏,dirty
29,きれい,きれい,干净,clean/beautiful
30,有名,ゆうめい,有名,famous
31,にぎやか,にぎやか,热闹,lively
32,静か,しずか,安静,quiet
33,暇,ひま,空闲,free time
34,親切,しんせつ,友善,kind
35,好き,すき,喜欢,liking/preference
36,嫌い,きらい,讨厌,dislike
37,便利,べんり,方便,convenient
38,不便,ふべん,不方便,inconvenient
39,元気,げんき,元气,energetic/healthy
40,簡単,かんたん,简单,easy/simple
41,ハンサム,ハンサム,英俊,handsome
42,どうな,どうな,怎么样,how about
43,どう,どう,如何,how
44,いかが,いかが,怎么样,how about
45,いろいろ,いろいろ,各种,various
46,でも,でも,但是,but/however
47,そして,そして,然后,and then
48,ところで,ところで,顺便说/by the way
49,あれえ,あれえ,哎呀,oh dear
50,奈良,なら,奈良,Nara
51,富士山,ふじさん,富士山,Mount Fuji
52,もう少し,もうすこし,再多一点,a little more
53,中,じゅう,中,in the middle
