序号,日本語,平假名注音,中文,英文
1,言葉,ことば,语言,language/word
2,メールアドレス,メールアドレス,邮箱地址,email address
3,連休,れんきゅう,连休,holiday period
4,ゴールデンウィーク,ゴールデンウィーク,黄金周,Golden Week
5,終わり,おわり,结束,end
6,休憩時間,きゅうけいじかん,休息时间,break time
7,京劇,きょうげき,京剧,Beijing opera
8,切符,きっぷ,票,ticket
9,体,からだ,身体,body
10,地震,じしん,地震,earthquake
11,泥棒,どろぼう,小偷,thief
12,駐車場,ちゅうしゃじょう,停车场,parking lot
13,渡す,わたす,递交，传递，to hand over
14,遅れる,おくれる,迟到，延误，to be late/to be delayed
15,考える,かんがえる,考虑，思考，to think/to consider
16,調べる,しらべる,调查，研究，to investigate/to examine
17,着る,きる,穿，戴，to wear/to put on (clothing)
18,予約する,よやくする,预约，to reserve/to book
19,感謝する,かんしゃする,感谢，to thank
20,運動する,うんどうする,运动，to exercise/to work out
21,洗う,せんたくする,洗，to wash
22,報告する,ほうこくする,报告，to report
23,危ない,あぶない,危险，dangerous
24,それとも,それとも,还是，or
25,東京タワー,とうきょうタワー,东京塔，Tokyo Tower
26,そんなに,そうなに,那么，so much
27,過ぎ,すぎ,过，too much
