序号,日本語,平假名注音,中文,英文
1,来月,らいげつ,下个月,next month
2,先月,せんげつ,上个月,last month
3,夜中,よなか,午夜,midnight
4,昨夜,ゆうべ,昨晚,last night
5,コンサート,コンサート,音乐会,concert
6,クリスマス,クリスマス,圣诞节,Christmas
7,誕生日,たんじょうび,生日,birthday
8,子供の日,こどものひ,儿童节,Children's Day
9,夏休み,なつやすみ,暑假,summer vacation
10,交通機関,こうつうきかん,交通工具,transportation
11,新幹線,しんかんせん,新干线,Shinkansen (bullet train)
12,飛行機,ひこうき,飞机,airplane
13,フェリー,"フェリー	（ferry, 渡船）",渡船,ferry
14,電車,でんしゃ,电车,train
15,バス,バス,公共汽车,bus
16,タクシー,タクシー,出租车,taxi
17,美術館,びじゅつかん,美术馆,art museum
18,アパート,アパート,公寓,apartment
19,うち,うち,家,home
20,プール,プール,游泳池,swimming pool
21,友達,ともだち,朋友,friends
22,弟,おとうと,弟弟,younger brother
23,行く,いく,去,to go
24,帰る,かえる,回家,to return (home)
25,来る,くる,来,to come
26,確か,たしか,确实,surely
27,まっすぐ,まっすぐ,直直地,straight
28,いっしょに,いっしょに,一起,together
29,佐藤,さとう,佐藤（日本姓氏）,Sato (Japanese surname)
30,北京,ペキン,北京,Beijing
31,アメリカ,アメリカ,美国,America
32,韓国,かんこく,韩国,South Korea
33,フランス,フランス,法国,France
34,広島,ひろしま,广岛,Hiroshima
35,京都,きょうと,京都,Kyoto
36,北海道,ほっかいどう,北海道,Hokkaido
37,箱根,はこね,箱根,Hakone
38,銀座,ぎんざ,银座,Ginza
39,渋谷,しぶや,涩谷,Shibuya
40,新宿,しんじゅく,新宿,Shinjuku
41,お疲れ様でした,おつかれさまでした。,辛苦了，谢谢。,Thank you for your hard work.
42,お先に失礼します,おさきにしつれいします。,失礼先走了，我先走了。,Excuse me for leaving before you.
43,歩いて,あるいて,步行地,by walking
44,大変ですね,たいへんですね。,真麻烦，对吧。,It's tough, isn't it?
