序号,日本語,平假名注音,中文,英文
1,デパート,デパート,百货店,department store
2,食堂,しょくどう,食堂,cafeteria
3,郵便局,ゆうびんきょく,邮局,post office
4,銀行,ぎんこう,银行,bank
5,図書館,としょかん,图书馆,library
6,マンション,マンション,公寓,apartment building
7,ホテル,ホテル,酒店,hotel
8,コンビニ,コンビニ,便利店,convenience store
9,喫茶店,きっさてん,咖啡馆,cafe
10,病院,びょういん,医院,hospital
11,本屋,ほんや,书店,bookstore
12,レストラン,レストラン,餐厅,restaurant
13,ビール,ビル,啤酒,beer
14,建物,たてもの,建筑物,building
15,売り場,うりば,销售区,sales floor
16,トイレ,トイレ,厕所,toilet
17,入口,いりぐち,入口,entrance
18,事務所,じむしょ,办公室,office
19,受付,うけつけ,接待处,reception desk
20,バーゲン会場,バーゲンかいじょう,特卖会场,bargain sale venue
21,エスカレーター,エスカレーター,电梯,escalator
22,ふく,ふく,服,clothes
23,コート,コート,外套,coat
24,デジカメ,デジカメ,数码相机,digital camera
25,国,くに,国家,country
26,地図,ちず,地图,map
27,近く,となり,附近,nearby
28,周辺,しゅうへん,周围,surroundings
29,今日,きょう,今天,today
30,水曜日,すいようび,星期三,Wednesday
31,木曜日,もくようび,星期四,Thursday
32,ここ,ここ,这里,here
33,そこ,そこ,那里,there
34,あそこ,あそこ,那边,over there
35,こちら,こちら,这边,this way
36,そちら,そちら,那边,that way
37,あちら,あちら,那边,that way (far from both speaker and listener)
38,どこ,どこ,哪里,where
39,どちら,どちら,哪边,which way
40,あのう,あのう,嗯,um
41,上海,シャンハイ,上海,Shanghai
42,東京,とうきょう,东京,Tokyo
43,おいくら,おいくら,多少钱,how much
