序号,日本語,平假名注音,中文,英文
1,プレゼント,プレゼント,礼物,gift
2,チケット,チケット,票券,ticket
3,パフレット,パンフレット,小册子,pamphlet
4,記念品,きねんひん,纪念品,souvenir
5,スゲジュール表,スゲジュールひょう,日程表,schedule
6,写真集,しゃしんしゅう,相册,photo album
7,花,はな,花,flower
8,お金,おかね,钱,money
9,ボールペン,ボールペン,圆珠笔,ballpoint pen
10,宿題,しゅくだい,作业,homework
11,航空便,こうくうびん,航空邮件,airmail
12,速達,そくたつ,快递,express mail
13,ファックス,ファックス,传真,fax
14,メール,メール,电子邮件,email
15,電話番号,でんわばんごう,电话号码,telephone number
16,住所,じゅうしょ,地址,address
17,名前,なまえ,名字,name
18,件,けん,件数,matter
19,新聞紙,しんぶんし,新闻纸,newspaper
20,紙飛行機,かみひこうき,纸飞机,paper airplane
21,チョコレット,チョコレット,巧克力,chocolate
22,アイスクリーム,アイスクリーム,冰淇淋,ice cream
23,小麦粉,こむぎこ,面粉,flour
24,橋,はし,桥,bridge
25,スプーン,スプーン,勺子,spoon
26,お兄さん,おにいさん,哥哥,brother (older)
27,韓国語,かんこくご,韩语,Korean language
28,夕方,ゆうがた,傍晚,evening
29,昼休み,ひるやすみ,午休,lunch break
30,もらう,もらう,收到,to receive
31,会う,あう,见面,to meet
32,送る,おくる,寄送,to send
33,作る,つくる,做,to make
34,太る,ふとる,胖,to gain weight
35,出す,だす,出,to take out
36,届く,とどく,送达,to arrive (at destination)
37,かく,かく,写,to write
38,貸す,かす,借,to lend
39,習う,ならう,学,to learn
40,あげる,あげる,给,to give
41,かける,かける,打,to make (a call)
42,借りる,かりる,借,to borrow
43,教える,おしえる,教,to teach
44,もう,もう,已经,already
45,さっき,さっき,刚才,just now
46,たった今,たったいま,刚刚,just now
47,もう一度,もういちど,再一次,once again
48,前に,まえに,之前,before
49,陳,ちん,计数,counter for items
50,どうですか,どうですか。,怎么样？,How about it?
51,お願いします,おねがいします。,请，请您,please
52,分かりました,わかりました。,明白了，知道了,Understood
53,よかった,よかったです。,太好了，好极了,That's good
54,様,さま,（敬称后缀）-sama (respectful suffix)
