序号,日本語,平假名注音,中文,英文
1,季節,きせつ,季節,season
2,冬,ふゆ,冬天,winter
3,春,はる,春天,spring
4,日本料理,にほんりょうり,日本料理,Japanese cuisine
5,寿司,すし,寿司,sushi
6,ナシ,ナシ,梨,pear
7,バナナ,バナナ,香蕉,banana
8,ミカン,ミカン,橘子,mandarin orange
9,焼酎,しょうちゅう,烧酒,shochu
10,日本酒,にほんしゅ,日本酒,Japanese sake
11,紅茶,こうちゃ,红茶,black tea
12,ウーロン茶,ウーロンちゃ,乌龙茶,oolong tea
13,ジャスミン茶,ジャスミンちゃ,茉莉花茶,jasmine tea
14,緑茶,りょくちゃ,绿茶,green tea
15,ジュース,ジュース,果汁,juice
16,人気,にんき,受欢迎,popularity
17,席,せき,座位,seat
18,クラス,クラス,班级,class
19,種類,しゅるい,种类,type/kind
20,背,せ,背,height
21,兄,あに,兄,brother (elder)
22,最近,さいきん,最近,recently
23,降る,ふる,下雨,to fall (rain/snow)
24,若い,わかい,年轻,young
25,暖かい,あたたかい,温暖,warm
26,涼しい,すずしい,凉爽,cool
27,早い,はやい,早速,early/fast
28,大好き,だいすき,非常喜欢,really like
29,一番,いちばん,第一,number one
30,ずっと,ずっと,一直,continuously
31,やはり／やっぱり,やっぱり,果然/as expected,as expected
32,エベレスト,エベレスト,珠穆朗玛峰,Mount Everest
33,人気があります,にんきがあります,很受欢迎,is popular
