序号,日本語,平假名注音,中文,英文
1,品物,しなもの,物品,goods
2,お皿,おさら,盘子,plate
3,ごみ,ごみ,垃圾,garbage
4,初心者,しょしんしゃ,初学者,beginner
5,上級者,じょうきゅうしゃ,高级者,advanced learner
6,上級,じょうきゅう,高级,advanced
7,上級クラス,じょうきゅうクラス,高级班,advanced class
8,英会話,えいかいわ,英语会话,English conversation
9,コース,コース,课程,course
10,スキー,スキー,滑雪,skiing
11,レポート,レポート,报告，论文,report, paper
12,パスポート,パスポート,护照,passport
13,喉,のど,喉咙,throat
14,触る,さわる,触摸，碰, to touch
15,脱ぐ,ぬぐ,脱，脱衣, to take off
16,転ぶ,ころぶ,摔倒, to fall down
17,渇く,かわく,口渴, to be thirsty
18,治る,なおる,康复，治愈, to heal, to recover
19,滑る,すべる,滑动，打滑, to slide
20,呼ぶ,よぶ,叫，呼唤, to call
21,返す,かえす,归还，退还, to return
22,手伝う,てつだう,帮忙，协助, to help
23,運ぶ,はこぶ,运输，搬运, to carry, to transport
24,なくす,なくす,丢失，遗失, to lose
25,落とす,おとす,掉落，丢下, to drop
26,置く,おく,放置，摆放, to place, to put
27,払う,はらう,支付，付款, to pay
28,立つ,たつ,站立，起立, to stand up
29,忘れる,わすれる,忘记，遗忘, to forget
30,慌てる,あわてる,慌张，慌乱, to panic
31,捨てる,すてる,扔掉，丢弃, to throw away
32,残業する,ざんぎょうする,加班, to work overtime
33,心配する,しんぱいする,担心，忧虑, to worry
34,本当,ほんとう,真实，真正, true, real
35,早く,はやく,快速，早速, quickly
36,やっと,やっと,终于，好不容易, finally, at last
37,だいぶ,だいぶ,相当，很多, quite, considerably
38,初めて,はじめて,第一次，初次, for the first time
39,先に,さきに,先前，预先, before, earlier
40,山田,やまだ,山田, Yamada (a common Japanese surname)
41,たち,たち,们，同伴，人们, pluralizeruffix
