序号,日本語,平假名注音,中文,英文
1,洋服,ようふく,服装,clothing
2,セーター,セーター,毛衣,sweater
3,ノートパソコン,ノートパソコン,笔记本电脑,laptop
4,バイク,バイク,摩托车,motorcycle
5,お汁粉,おしるこ,红豆汤,sweet red bean soup
6,天婦羅,てんぷら,天妇罗,tempura
7,初詣,はつもうで,新年初拜,first shrine visit of the New Year
8,健康,けんこう,健康,health
9,恋愛,れんあい,恋爱,romance
10,ドラム,ドラム,鼓,drum
11,相手,あいて,对方,partner
12,恋人,こいびと,恋人,lover
13,先輩,せんぱい,前辈,senior (at work or school)
14,男性,だんせい,男性,man
15,外国人,がいこくじん,外国人,foreigner
16,夏,なつ,夏天,summer
17,始める,はじめる,开始,start
18,連絡する,れんらくする,联系,contact
19,欲しい,ほしい,想要,want
20,立派,りっぱ,出色，高贵，威严,splendid, admirable, magnificent
21,今度,こんど,这一次,this time
22,ぜひ,ぜひ,一定，务必,by all means, definitely
23,そろそろ,そろそろ,差不多，即将,gradually, soon
24,まず,まず,首先，最先,first of all
25,ベートーベン,ベートーベン,贝多芬,Beethoven
26,ショパン,ショパン,肖邦,Chopin
27,故宮,こきゅう,故宫,the Imperial Palace
28,ヨーロッパ,ヨーロッパ,欧洲,Europe
29,香港 （HongKong）,ほんこん,香港,Hong Kong
30,スイス,スイス,瑞士,Switzerland
31,中に,じゅうに,之间，中,among, within
