序号,日本語,平假名注音,中文,英文
1,料理,りょうり,料理,cooking
2,四川料理,しせんりょうり,四川菜,Sichuan cuisine
3,スープ,（soup）,汤,soup
4,北京ダック,ぺきんダック,北京烤鸭,Peking duck
5,食べ物,たべもの,食物,food
6,すき焼き,すきやき,火锅,Sukiyaki
7,温泉,おんせん,温泉,hot spring
8,お湯,おゆ,热水,hot water
9,水,みず,水,water
10,浴衣,ゆかた,浴衣,yukata
11,眺め,ながめ,景色,view
12,薬,くすり,药,medicine
13,天気,てんき,天气,weather
14,紙,かみ,纸,paper
15,ニュース (news),ニュース,新闻,news
16,女性,じょせい,女性,woman
17,お客様,おきゃくさま,客人,guest/customer
18,グラス,グラス,玻璃杯,glass (drinkware)
19,歌舞伎,かぶき,歌舞伎,Kabuki
20,気持ち,きもち,心情,feeling
21,たくさん,たくさん,很多,a lot
22,辛い,からい,辣,spicy
23,甘い,あまい,甜,sweet
24,塩辛い,しおからい,咸,salty
25,酸っぱい,すっぱい,酸,sour
26,苦い,にがい,苦,bitter
27,おいしい,おいしい,好吃,delicious
28,まずい,まずい,难吃,tastes bad
29,熱い,あつい,热,hot
30,冷たい,つめたい,冷,cold
31,楽しい,たのしい,快乐,fun
32,面白い,おもしろい,有趣,interesting
33,つまらない,つまらない,无聊,boring
34,広い,ひろい,宽阔,spacious
35,狭い,せまい,狭窄,narrow
36,大きい,おおきい,大,big
37,小さい,ちいさい,小,small
38,忙しい,いそがしい,忙碌,busy
39,いい,いい,好好的,good
40,悪い,わるい,坏,bad
41,すばらしい,すばらしい,了不起,wonderful
42,遠い,とおい,远,far
43,近い,ちかい,近,near
44,高い,たかい,高,tall/high
45,安い,やすい,便宜,cheap
46,寒い,さむい,冷,cold (weather)
47,新しい,あたらしい,新,new
48,古い,ふるい,旧,old
49,難しい,むずかしい,难,difficult
50,易しい,やさしい,容易,easy
51,多い,おおい,多,many/much
52,少ない,すくない,少,few
53,可愛い,かわいい,可爱,cute
54,本当に,ほんとうに,真的,really
55,あまり,あまり,不太,not very
56,とても／大変,とても／たいへん,非常,very
57,すこし／ちょっと,すこし／ちょっと,一点点,a little
58,全然,ぜんぜん,一点也不,not at all
59,ちょうど,ちょうど,刚好,just right
60,天安門,てんあんもん,天安门,Tiananmen
61,万里の長城,ばんりのちょうじょう,万里长城,Great Wall of China
62,気持ちがいいです。,きもちがいい,感觉好,nice feeling
63,用,よう,用途,purpose/use
