序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,このケーキは甘いですか,いいえ、甘くないです。
2,その雪は白いですか,いいえ、白くありません。
3,この部屋は汚いでしたか,いいえ、汚くなかったです。
4,彼の頭が痛いでしたか,いいえ、痛くありませんでした。
5,この料理は旨いですか,いいえ、旨くないです。
6,彼の車は黒いでしたか,いいえ、黒くありませんでした。
7,そのカーテンは薄いですか,いいえ、薄くないです。
8,彼の声が煩いですか,いいえ、煩くありません。
9,この問題は易いですか,いいえ、易しくないです。
10,この池は深いですか,いいえ、深くありません。
11,彼の答えは正しいですか,いいえ、正しくありません。
12,このお茶は苦いでしたか,いいえ、苦くなかったです。
13,その映画は悪いでしたか,いいえ、悪くありませんでした。
14,この川は短いですか,いいえ、短くないです。
15,その糸は細いですか,いいえ、細くありません。
16,そのテーブルは丸いでしたか,いいえ、丸くなかったです。
17,この本は安いですか,いいえ、安くないです。
18,この家は古いですか,いいえ、古くありません。
19,その列車は長いですか,いいえ、長くありません。
20,彼の反応は早いですか,いいえ、早くないです。
21,この木は太いでしたか,いいえ、太くありませんでした。
22,その車は速いでしたか,いいえ、速くなかったです。
23,彼の家は駅に近いですか,いいえ、近くありません。
24,このパイプは詰まらないですか,いいえ、詰まっていません。
25,この犬は小さいでしたか,いいえ、小さくありませんでした。
26,この部屋は狭いでしたか,いいえ、狭くなかったです。
27,今日は寒いでしたか,いいえ、寒くなかったです。
28,その映画は面白いですか,いいえ、面白くありません。
29,彼のかばんは重いですか,いいえ、重くないです。
30,この料理は美味しいですか,いいえ、美味しくありません。
31,この部屋は明るいでしたか,いいえ、明るくなかったです。
32,その道路は危ないでしたか,いいえ、危なくなかったです。
33,そのイベントはすごいでしたか,いいえ、すごくありませんでした。
34,彼は嫌いでしたか,いいえ、嫌いではありませんでした。
35,今日は暑いですか,いいえ、暑くないです。
36,このコーヒーは熱いでしたか,いいえ、熱くありませんでした。
37,今日はひし暑いでしたか,いいえ、ひし暑くなかったです。
38,この山は高いでしたか,いいえ、高くありませんでした。
39,彼は忙しいですか,いいえ、忙しくありません。
40,この机は低いですか,いいえ、低くありません。
41,このアイスクリームは冷たいですか,いいえ、冷たくありません。
42,この料理は不味いでしたか,いいえ、不味くなかったです。
43,この漬物は塩辛いですか,いいえ、塩辛くありません。
44,このスープはしょっぱいですか,いいえ、しょっぱくありません。
45,この部屋は広いですか,いいえ、広くありません。
46,この映画は良いでしたか,いいえ、良くありませんでした。
47,このテストは難しいでしたか,いいえ、難しくありませんでした。
48,この問題は易しいでしたか,いいえ、易しくありませんでした。
49,このカレーは辛いですか,いいえ、辛くありません。
50,この部屋は少ないですか,いいえ、少なくありません。
51,この本は多いでしたか,いいえ、多くありませんでした。
52,その犬は可愛いですか,いいえ、可愛くありません。
53,そのジョークは可笑しいでしたか,いいえ、可笑しくありませんでした。
54,彼は親しいでしたか,いいえ、親しくありませんでした。
55,今日は寂しいでしたか,いいえ、寂しくありませんでした。
56,この花は美しいでしたか,いいえ、美しくありませんでした。
57,この計画は詳しいでしたか,いいえ、詳しくありませんでした。
58,その人は偉いでしたか,いいえ、偉くありませんでした。
59,この話はおかしいでしたか,いいえ、おかしくありませんでした。
60,この映画はひどいでしたか,いいえ、ひどくありませんでした。
61,この料理はもったいないでしたか,いいえ、もったいなくありませんでした。
62,その出来事は悲しいでしたか,いいえ、悲しくありませんでした。
63,彼は弱いですか,いいえ、弱くありません。
64,その教師は厳しいでしたか,いいえ、厳しくありませんでした。
65,この店は幅広いですか,いいえ、幅広くありません。
66,この布は柔らかいですか,いいえ、柔らかくありません。
67,その音は力強いですか,いいえ、力強くありません。
68,この木は硬いでしたか,いいえ、硬くありませんでした。
69,この本は厚いでしたか,いいえ、厚くありませんでした。
70,この猫はおとなしいですか,いいえ、おとなしくありません。
71,あなたは恥ずかしいでしたか,いいえ、恥ずかしくありませんでした。
72,その会議は長いですか,いいえ、長くありません。
73,このコーヒーは苦いでしたか,いいえ、苦くありませんでした。
74,その本は面白いですか,いいえ、面白くありません。
75,この問題は深いですか,いいえ、深くありません。
76,その建物は高いですか,いいえ、高くありません。
77,このラーメンは美味しいでしたか,いいえ、美味しくありま
