序号,日本語,平假名注音,中文,英文
1,以下はランダムな順序です,いかはらんだむなじゅんじょです
2,47分, よんじゅうななふん
3,10分, じゅっぷん
4,21分, さんじゅういっぷん
5,34分, さんじゅうよんぷん
6,12分, じゅうにふん
7,50分, ごじゅっぷん
8,45分, よんじゅうごふん
9,58分, ごじゅうはっぷん
10,29分, さんじゅうきゅうふん
11,42分, よんじゅうにふん
12,26分, さんじゅうろっぷん
13,6分, ろっぷん
14,41分, よんじゅういっぷん
15,17分, じゅうななふん
16,2分, にふん
17,28分, さんじゅうはっぷん
18,33分, さんじゅうさんぷん
19,54分, ごじゅうよんぷん
20,24分, さんじゅうにふん
21,13分, じゅうさんぷん
22,9分, きゅうふん
23,20分, はん さんじゅっぷん
24,14分, じゅうよんぷん
25,8分, はっぷん
26,51分, ごじゅういっぷん
27,19分, じゅうきゅうふん
28,30分, はん さんじゅっぷん
29,55分, ごじゅうごふん
30,37分, さんじゅうななふん
31,16分, じゅうろっぷん
32,1分, いっぷん
33,15分, じゅうごふん
34,23分, じゅうさんぷん
35,56分, ごじゅうろっぷん
36,3分, さんぷん
37,7分, ななふん
38,4分, よんぷん
39,39分, さんじゅうきゅうふん
40,52分, ごじゅうにふん
41,31分, さんじゅういっぷん
42,5分, ごふん
43,53分, ごじゅうさんぷん
44,49分, よんじゅうきゅうふん
45,18分, じゅうはっぷん
46,40分, よんじゅっぷん
47,38分, さんじゅうはっぷん
48,11分, じゅういっぷん
49,25分, じゅうごふん
50,48分, よんじゅうはっぷん
51,57分, ごじゅうななふん
52,22分, さんじゅうにふん
53,36分, さんじゅうろっぷん
54,46分, よんじゅうろっぷん
55,43分, よんじゅうさんぷん
56,35分, さんじゅうごふん
57,27分, じゅうななふん
58,32分, さんじゅうにふん
59,44分, よんじゅうよんぷん
60,59分, ごじゅうきゅうふん
