index,kanji,hiragana
1,デパート,デパート
2,食堂,しょくどう
3,郵便局,ゆうびんきょく
4,銀行,ぎんこう
5,図書館,としょかん
6,マンション,マンション
7,ホテル,ホテル
8,コンビニ,コンビニ
9,喫茶店,きっさてん
10,病院,びょういん
11,本屋,ほんや
12,レストラン,レストラン
13,ビール,ビル
14,建物,たてもの
15,売り場,うりば
16,トイレ,トイレ
17,入口,いりぐち
18,事務所,じむしょ
19,受付,うけつけ
20,バーゲン会場,バーゲンかいじょう
21,エスカレーター,エスカレーカー
22,ふく,ふく
23,コート,コート
24,デジカメ,デジカメ
25,国,くに
26,地図,ちず
27,近く,となり
28,周辺,しゅうへん
29,今日,きょう
30,水曜日,すいようび
31,木曜日,もくようび
32,ここ,ここ
33,そこ,そこ
34,あそこ,あそこ
35,こちら,こちら
36,そちら,そちら
37,あちら,あちら
38,どこ,どこ
39,どちら,どちら
40,あのう,あのう
41,上海,シャンハイ
42,東京,とうきょう
43,おいくら,おいくら
