index,kanji,hiragana
1,荷物,にもつ
2,はがき,はがき
3,切手,きって
4,引き出し,ひきだし
5,アルバム,アルバム
6,タバコ,タバコ
7,漫画,まんが
8,ガレージ,ガレージ
9,修理,しゅうり
10,居酒屋,いざかや
11,生ビール,なまビール
12,焼き鳥,やきとり
13,唐揚げ,からあげ
14,肉じゃが,にくじゃが
15,ボーリング,ボーリング
16,髪,かみ
17,象,ぞう
18,昼,ひる
19,ほか,ほか
20,かかる,かかる
21,咲く,さく
22,泳ぐ,およぐ
23,遊ぶ,あそぶ
24,吸う,すう
25,切る,きる
26,だいたい,だいたい
27,とりあえず,とりあえず
28,どのぐらい,どのぐらい
29,冊,さつ
30,回,かい
31,枚,まい
32,個,こ
33,杯,はい
34,人,にん
35,台,だい
36,本,ほん
37,頭,とう
38,匹,ひき
39,つ,つ
40,着,ちゃく
41,羽,わ
42,番,ばん
43,足,そく
44,度,ど
45,キロメートル,キロメートル
46,皿,さら
47,時間,じかん
48,週間,しゅうかん
49,か月,かげつ
