index,kanji,hiragana
1,ボート,ボート
2,ベンチ,ベンチ
3,市役所,しやくしょ
4,携帯電話,けいたいでんわ
5,禁煙,きんえん
6,風邪,かぜ
7,熱,ねつ
8,睡眠,すいみん
9,お風呂,おふろ
10,薬局,やっきょく
11,クーラー,クーラー
12,火,ひ
13,気,き
14,打ち合わせ,うちあわせ
15,無理,むり
16,駐車禁止,ちゅうしゃきんし
17,立ち入り禁止,たちいりきんし
18,火気厳禁,かきげんきん
19,撮影禁止,さつえいきんし
20,乗る,のる
21,使う,つかう
22,座る,すわる
23,入る,はいる
24,申す,もうす
25,取る,とる
26,歌う,うたう
27,伝える,つたえる
28,止める,とめる
29,温かい,あたたかい
30,大丈夫,だいじょうぶ
31,だめ,だめ
32,十分,じゅうぶん
33,もちろん,もちろん
34,ゆっくり,ゆっくり
35,もしもし,もしもし
36,いえ,いえ
37,お大事に,おだいじに
38,いけません,いけません
39,かまいません,かまいません
40,またです,まだです
41,気をつけます,きをつけます
42,無理をします,むりをします
43,睡眠をとります,すいみんをとります
44,お風呂に入ります,おふろにはいります
