index,kanji,hiragana
1,コーヒー,コーヒー
2,コーラ,コーラ
3,お茶,おちゃ
4,ワイン,ワイン
5,パン,パン
6,ケーキ,ケーキ
7,お粥,おかゆ
8,昼ご飯,ひるごはん
9,お弁当,おべんとう
10,蕎麦,そば
11,うどん,うどん
12,親子丼,おやこどん
13,カレー,カレー
14,卵,たまご
15,チーズ,チーズ
16,リンゴ,リンゴ
17,イチゴ,イチゴ
18,蕎麦や,そばや
19,テニス,テニス
20,ジョギング,ジョギング
21,サッカー,サッカー
22,野球,やきゅう
23,申込書,もうしこみしょ
24,手紙,てがみ
25,ＣＤ,シーディー
26,音楽,おんがく
27,映画,えいが
28,動物園,どうぶつえん
29,パンダ,パンダ
30,飲む,のむ
31,買う,かう
32,撮る,とる
33,書く,かく
34,読む,よむ
35,聞く,きく
36,食べる,たべる
37,見る,みる
38,する,する
39,掃除する,そうじする
40,これから,これから
41,じゃあ／では,では／じゃあ
42,いらっしゃいませ,いらっしゃいませ
43,失礼します,しつれいします
44,失礼しました,しつれいしますた
45,いってまいります,いってまいります
46,いってきます,いってきます
47,いってらっしゃい,いってらっしゃい
48,ただいま,ただいま
49,お帰りなさい,おかえりなさい
50,かしこまりました,かしこまりました
51,お邪魔します,おじゃまします
52,ください,ください
53,午前中,ごぜんちゅう
