index,kanji,hiragana
1,紅葉,もみじ
2,故郷,こきょう
3,通り,とおり
4,町,まち
5,ところ,ところ
6,お店,おみせ
7,人形,にんぎょう
8,作品,さくひん
9,彫刻,ちょうこく
10,自動車,じどうしゃ
11,道具,どうぐ
12,魚,さかな
13,お菓子,おかし
14,もの,もの
15,シーズン,シーズン
16,修学旅行,しゅうがくりょこう
17,観光客,かんこうきゃく
18,作家,さっか
19,部長,ぶちょう
20,平日,へいじつ
21,日,ひ
22,生活,せいかつ
23,世界,せかい
24,晴れ,はれ
25,雨,あめ
26,曇り,くもり
27,雪,ゆき
28,汚い,きたない
29,きれい,きれい
30,有名,ゆうめい
31,にぎやか,にぎやか
32,静か,しずか
33,暇,ひま
34,親切,しんせつ
35,好き,すき
36,嫌い,きらい
37,便利,べんり
38,不便,ふべん
39,元気,げんき
40,簡単,かんたん
41,ハンサム,ハンサム
42,どうな,どうな
43,どう,どう
44,いかが,いかが
45,いろいろ,いろいろ
46,でも,でも
47,そして,そして
48,ところで,ところで
49,あれえ,あれえ
50,奈良,なら
51,富士山,ふじさん
52,もう少し,もうすこし
53,中,じゅう
