index,kanji,hiragana
1,船便,ふなびん
2,書類,しょるい
3,原稿,げんこう
4,記事,きじ
5,メモ,メモ
6,駅前,えきまえ
7,橋,はし
8,角,かど
9,横断歩道,おうだんほどう
10,右,みぎ
11,左,ひだり
12,交差点,こうさてん
13,道,みち
14,ドア,ドア
15,電気,でんき
16,太極拳,たいきょくけん
17,朝ご飯,あさごはん
18,晩ご飯,ばんごはん
19,バーベキュー,バーベキュー
20,通る,とおる
21,急ぎ,いそぐ
22,飛ぶ,とぶ
23,死ぬ,しぬ
24,待つ,まつ
25,売る,うる
26,話す,はなす
27,渡る,わたる
28,下ろす,おろす
29,選ぶ,えらぶ
30,消す,けす
31,歩く,あるく
32,曲がる,まがる
33,洗う,あらう
34,出る,でる
35,出かける,でかける
36,開ける,あける
37,過ぎる,すぎる
38,見せる,みせる
39,つける,つける
40,降りる,おりる
41,買い物する,かいものする
42,卒業する,そつぎょうする
43,食べる,しょくじする
44,整理する,せいりする
45,コピーする,コピーする
46,暗い,くらい
47,大変,たいへん
48,なかなか,なかなか
49,こう,こう
50,そう,そう
51,後で,あとで
52,それから,それから
53,すみませんが,すみませんが
