index,kanji,hiragana
1,部屋,へや
2,庭,にわ
3,家,いえ
4,居間,いま
5,冷蔵庫,れいぞうこ
6,壁,かべ
7,スイッチ,スイッチ
8,本棚,ほんだな
9,ベッド,ベッド
10,猫,ねこ
11,犬,いぬ
12,箱,はこ
13,眼鏡,めがね
14,ビデオ,ビデオ
15,サッカーボール,サッカーボール
16,ビール,ビール
17,ウイスキー,ウイスキー
18,子供,こども
19,兄弟,きょうだい
20,両親,りょうしん
21,妹,いもうと
22,男,おとこ
23,女,おんな
24,生徒,せいと
25,上,うえ
26,外,そと
27,中,なか
28,下,した
29,後ろ,うしろ
30,近く,ちかく
31,場所,ばしょ
32,教室,きょうしつ
33,会議室,かいぎしつ
34,図書室,としょしつ
35,公園,こうえん
36,花屋,はなや
37,売店,ばいてん
38,駅,えき
39,地下鉄,ちかてつ
40,木,き
41,一人暮らし,ひとり暮らし
42,あります,あります
43,います,います
44,ええと,ええと
45,横浜,よこはま
46,名古屋,なごや
47,大阪,おおさか
48,ＪＲ,ジェーアール
49,ご～,ご～
