index,kanji,hiragana
301,曇り,くもり
302,黒い,くろい
303,警官,けいかん
304,午後,ごご
305,こっち,こっち
306,今年,ことし
307,言葉,ことば
308,ご飯,ごはん
309,ごろ,ごろ
310,今週,こんしゅう
311,魚,さかな
312,作文,さくぶん
313,砂糖,さとう
314,塩,しお
315,時間,じかん
316,仕事,しごと
317,下,した
318,質問,しつもん
319,自分,じぶん
320,シャツ,シャツ
321,シャワー,シャワー
322,宿題,しゅくだい
323,ストーブ,ストーブ
324,スリッパ,すりーぱ
325,側,そば
326,空,そら
327,台所,だいどころ
328,タバコ,たばこ
329,卵,たまご
330,出口,でぐち
331,ドア,どあ
332,動物,どうぶつ
333,動物園,どうぶつえん
334,年,とし
335,鶏肉,とりにく
336,中,なか
337,夏休み,なつやすみ
338,肉,にく
339,西,にし
340,日,にち
341,ニュース,(news)ニュース
342,庭,にわ
343,飲み物,のみもの
344,歯,は
345,パーディー,パーディー
346,杯,はい
347,灰皿,はいざら
348,橋,はし
349,箸,はし
350,初め,はじめ
351,初めて,はじめて
352,バター,ばたー
353,二十歳,はたち
354,鼻,はな
355,話す,はなす
356,番号,ばんごう
357,晩御飯,ばんごはん
358,左,ひだり
359,一つ,ひとつ
360,暇,ひま
361,昼,ひる
362,プール,ぷーる
363,二つ,ふたつ
364,豚肉,ぶだにく
365,ボタン,ぼたん
366,ポスト,ぽすと
367,ボールペン,ぼーるぺん
368,二人,ふたり
369,本棚,ほんだな
370,本当,ほんとう
371,枚,まい
372,町,まち
373,真っ直ぐ,まっすぐ
374,窓,まど
375,水,みず
376,店,みせ
377,道,みち
378,三つ,みっつ
379,緑,みどり
380,皆,みんな
381,六日,むいか
382,村,むら
383,物,もの
384,門,もん
385,問題,もんだい
386,八百屋,やおや
387,休み,やすみ
388,八つ,やっつ
389,山,やま
390,昨夜,ゆうべ
391,夜,よる
392,来週,らいしゅう
393,ラジオ,らじお
394,ワイシャツ,わいしゃつ
395,私,わたし
396,間,あいだ
