index,kanji,hiragana
401,味,あじ
402,石,いし
403,糸,いと
404,うそ,うそ
405,うち,うち
406,お宅,おたく
407,お釣り,おつり
408,踊り,おどり
409,お祭り,おまつり
410,お礼,おれい
411,区,く
412,首,くび
413,毛,け
414,ゴミ,ごみ
415,ご存知,ごぞんじ
416,最後,さいご
417,サラダ,さらだ
418,字,じ
419,試合,しあい
420,島,しま
421,邪魔,じゃま
422,神社,じんじゃ
423,隅,すみ
424,スリ,すり
425,退院,たいいん
426,暖房,だんぼう
427,棚,たな
428,遠く,とおく
429,通り,とおり
430,バイト,ばいと
431,船,ふね
432,僕,ぼく
433,先ず,まず
434,真ん中,まんなか
435,息子,むすこ
436,指輪,ゆびわ
437,夢,ゆめ
438,留守,るす
439,押入れ,おしいれ
440,支度する,したくする
441,行く,いく
442,来る,くる
443,ごめんなさい,ごめんなさい
444,さす,さす
445,死ぬ,しぬ
446,締める,しめる
447,知る,しる
448,知る,する
449,する,する
450,頼む,たのむ
451,食べる,たべる
452,違う,ちがう
453,撮る,とる
454,ない,ない
455,鳴く,なく
456,脱ぐ,ぬぐ
457,飲む,のむ
458,履く,はく
459,働く,はたらく
460,挨拶する,あいさつする
461,案内する,あんないする
462,運転する,うんてんする
463,終わる,おわる
464,相談する,そうだんする
465,注意する,ちゅういする
466,点く,つく
467,漬ける,つける
468,直す,なおす
469,返事する,へんじする
470,沸く,わく
471,暮れる,くれる
472,183,ひゃくはちじゅうさん
473,薄い,うすい
474,煩い,うるさい
475,随分,ずいぶん
476,大分,だいぶ
477,198,ひゃくきゅうじゅうはち
478,それで,それで
479,ばかり,ばかり
480,にくい,にくい
481,やはり,やはり
482,ため,ため
483,易しい,やさしい
484,易い,やすい
485,深い,ふかい
486,大事,だいじ
487,正しい,ただしい
488,197,ひゃくきゅうじゅうなな
